Name,Date,Price
AEX,31jan1983,48.37
AEX,28feb1983,51.26
AEX,31mar1983,60.24
AEX,29apr1983,57.42
AEX,31may1983,58.88
AEX,30jun1983,65.84
AEX,29jul1983,67.95
AEX,31aug1983,65.90000000000001
AEX,30sep1983,69.51000000000001
AEX,31oct1983,66.58
AEX,30nov1983,72.27
AEX,30dec1983,76.27
AEX,31jan1984,89.45
AEX,29feb1984,80.40000000000001
AEX,30mar1984,80.55
AEX,30apr1984,78.59
AEX,31may1984,73.92
AEX,29jun1984,75.66
AEX,31jul1984,72.23999999999999
AEX,31aug1984,80.88
AEX,28sep1984,87.01000000000001
AEX,31oct1984,90.27
AEX,30nov1984,89.27
AEX,31dec1984,92.42
AEX,31jan1985,97.44
AEX,28feb1985,99.62
AEX,29mar1985,101.26
AEX,30apr1985,103.58
AEX,31may1985,104.76
AEX,28jun1985,105.72
AEX,31jul1985,110.38
AEX,30aug1985,111.82
AEX,30sep1985,110.54
AEX,31oct1985,115.74
AEX,29nov1985,126.22
AEX,31dec1985,136.48
AEX,31jan1986,134.27
AEX,28feb1986,126.26
AEX,31mar1986,137.83
AEX,30apr1986,136.02
AEX,30may1986,145.26
AEX,30jun1986,142.37
AEX,31jul1986,137.05
AEX,29aug1986,139.42
AEX,30sep1986,133.9
AEX,31oct1986,134.84
AEX,28nov1986,138.41
AEX,31dec1986,133.49
AEX,30jan1987,124.24
AEX,27feb1987,123.56
AEX,31mar1987,127.58
AEX,30apr1987,128.87
AEX,29may1987,129.8
AEX,30jun1987,140.08
AEX,31jul1987,147.92
AEX,31aug1987,148.18
AEX,30sep1987,145.69
AEX,30oct1987,105.64
AEX,30nov1987,86.98
AEX,31dec1987,93.83
AEX,29jan1988,96.31999999999999
AEX,29feb1988,105.52
AEX,31mar1988,110.23
AEX,29apr1988,115.71
AEX,31may1988,115.86
AEX,30jun1988,129.79
AEX,29jul1988,135.71
AEX,31aug1988,131.24
AEX,30sep1988,137.75
AEX,31oct1988,141.78
AEX,30nov1988,137.35
AEX,30dec1988,148.16
AEX,31jan1989,152.19
AEX,28feb1989,150.69
AEX,31mar1989,160.03
AEX,28apr1989,174.35
AEX,31may1989,173.68
AEX,30jun1989,180.52
AEX,31jul1989,186.38
AEX,31aug1989,185.82
AEX,29sep1989,185.89
AEX,31oct1989,172.32
AEX,30nov1989,174.61
AEX,29dec1989,178.99
AEX,31jan1990,166.94
AEX,28feb1990,157.86
AEX,30mar1990,171.72
AEX,30apr1990,169.37
AEX,31may1990,177.15
AEX,29jun1990,179.43
AEX,31jul1990,174.6
AEX,31aug1990,153.59
AEX,28sep1990,139.95
AEX,31oct1990,144.27
AEX,30nov1990,142.55
AEX,31dec1990,142.62
AEX,31jan1991,145.95
AEX,28feb1991,160.6
AEX,29mar1991,173.68
AEX,30apr1991,176.24
AEX,31may1991,180.44
AEX,28jun1991,175.79
AEX,31jul1991,179.04
AEX,30aug1991,179.03
AEX,30sep1991,175.6
AEX,31oct1991,177
AEX,29nov1991,177.71
AEX,31dec1991,179.31
AEX,31jan1992,190.78
AEX,28feb1992,197.77
AEX,31mar1992,196.3
AEX,30apr1992,205.22
AEX,29may1992,210.8
AEX,30jun1992,200.61
AEX,31jul1992,191.67
AEX,31aug1992,185.18
AEX,30sep1992,191.81
AEX,30oct1992,183.14
AEX,30nov1992,186.57
AEX,31dec1992,191.73
AEX,29jan1993,195.82
AEX,26feb1993,205.13
AEX,31mar1993,214.16
AEX,30apr1993,211.99
AEX,31may1993,210.81
AEX,30jun1993,222.15
AEX,30jul1993,232.24
AEX,31aug1993,251.26
AEX,30sep1993,241.62
AEX,29oct1993,264.9
AEX,30nov1993,265.14
AEX,31dec1993,286.44
AEX,31jan1994,303.34
AEX,28feb1994,291
AEX,31mar1994,279.31
AEX,29apr1994,286.9
AEX,31may1994,282.22
AEX,30jun1994,270.31
AEX,29jul1994,287.7
AEX,31aug1994,297.29
AEX,30sep1994,286.03
AEX,31oct1994,293.41
AEX,30nov1994,291.46
AEX,30dec1994,295.07
AEX,31jan1995,290.54
AEX,28feb1995,290.37
AEX,31mar1995,280.15
AEX,28apr1995,298.55
AEX,31may1995,314.45
AEX,30jun1995,315.39
AEX,31jul1995,333.85
AEX,31aug1995,335.82
AEX,29sep1995,343.05
AEX,31oct1995,333.74
AEX,30nov1995,352.2
AEX,29dec1995,357.54
AEX,31jan1996,370.82
AEX,29feb1996,378.14
AEX,29mar1996,392.41
AEX,30apr1996,411.24
AEX,31may1996,428.53
AEX,28jun1996,421.2
AEX,31jul1996,402.7
AEX,30aug1996,416.21
AEX,30sep1996,437.95
AEX,31oct1996,438.03
AEX,29nov1996,479.57
AEX,31dec1996,492.62
AEX,31jan1997,513.47
AEX,28feb1997,560.51
AEX,31mar1997,563.95
AEX,30apr1997,583.0599999999999
AEX,30may1997,610.63
AEX,30jun1997,665.12
AEX,31jul1997,759.25
AEX,29aug1997,672.21
AEX,30sep1997,715.18
AEX,31oct1997,668.51
AEX,28nov1997,686.2
AEX,31dec1997,711.0700000000001
AEX,30jan1998,744.5
AEX,27feb1998,832.99
AEX,31mar1998,877.99
AEX,30apr1998,881.53
AEX,29may1998,943.6
AEX,30jun1998,945.01
AEX,31jul1998,968.01
AEX,31aug1998,858.83
AEX,30sep1998,740.0599999999999
AEX,30oct1998,787.14
AEX,30nov1998,872.84
AEX,31dec1998,940.86
AEX,29jan1999,929.9
AEX,26feb1999,936.9400000000001
AEX,31mar1999,939.36
AEX,30apr1999,1005.88
AEX,31may1999,970.5599999999999
AEX,30jun1999,992.91
AEX,30jul1999,978.16
AEX,31aug1999,1020.12
AEX,30sep1999,977.01
AEX,29oct1999,1019.81
AEX,30nov1999,1074.41
AEX,31dec1999,1198.09
AEX,31jan2000,1092.73
AEX,29feb2000,1185.31
AEX,31mar2000,1182.91
AEX,28apr2000,1182.49
AEX,31may2000,1182.85
AEX,30jun2000,1212.87
AEX,31jul2000,1205.74
AEX,31aug2000,1250.27
AEX,29sep2000,1200.59
AEX,31oct2000,1235.37
AEX,30nov2000,1180.39
AEX,29dec2000,1158.01
AEX,31jan2001,1162.35
AEX,28feb2001,1084.91
AEX,30mar2001,1015.61
AEX,30apr2001,1082.22
AEX,31may2001,1076.81
AEX,29jun2001,1056.49
AEX,31jul2001,1010.98
AEX,31aug2001,970.88
AEX,28sep2001,842.0700000000001
AEX,31oct2001,854.28
AEX,30nov2001,915.12
AEX,31dec2001,941.33
AEX,31jan2002,930.43
AEX,28feb2002,919.25
AEX,29mar2002,986.6900000000001
AEX,30apr2002,956.16
AEX,31may2002,915.1
AEX,28jun2002,830.29
AEX,31jul2002,686.8099999999999
AEX,30aug2002,708.83
AEX,30sep2002,565.42
AEX,31oct2002,655.12
AEX,29nov2002,691.72
AEX,31dec2002,616.65
AEX,31jan2003,563.49
AEX,28feb2003,508.59
AEX,31mar2003,475.96
AEX,30apr2003,547.29
AEX,30may2003,549.34
AEX,30jun2003,570.83
AEX,31jul2003,622.86
AEX,29aug2003,651.3099999999999
AEX,30sep2003,606.77
AEX,31oct2003,653.96
AEX,28nov2003,657.86
AEX,31dec2003,668.67
AEX,30jan2004,699.66
AEX,27feb2004,706.14
AEX,31mar2004,672.11
AEX,30apr2004,684.15
AEX,31may2004,682.85
AEX,30jun2004,698.92
AEX,30jul2004,669.64
AEX,31aug2004,635.29
AEX,30sep2004,663.41
AEX,29oct2004,677.83
AEX,30nov2004,691.5
AEX,31dec2004,713.89
AEX,31jan2005,739.2
AEX,28feb2005,769.76861
AEX,31mar2005,759.8638999999999
AEX,29apr2005,725.23526
AEX,31may2005,767.15551
AEX,30jun2005,807.43815
AEX,29jul2005,832.68192
AEX,31aug2005,829.04633
AEX,30sep2005,857.62745
AEX,31oct2005,839.04324
AEX,30nov2005,893.64496
AEX,30dec2005,932.03892
AEX,31jan2006,961.31272
AEX,28feb2006,980.03353
AEX,31mar2006,1002.9861
AEX,28apr2006,1011.58072
AEX,31may2006,955.6956300000001
AEX,30jun2006,957.3427799999999
AEX,31jul2006,987.71423
AEX,31aug2006,1031.34287
AEX,29sep2006,1063.57746
AEX,31oct2006,1070.4721
AEX,30nov2006,1053.28387
AEX,29dec2006,1092.24588
AEX,31jan2007,1102.10642
AEX,28feb2007,1082.37617
AEX,30mar2007,1128.97546
AEX,30apr2007,1184.52608
AEX,31may2007,1213.18372
AEX,29jun2007,1230.72662
AEX,31jul2007,1202.09293
AEX,31aug2007,1186.25372
AEX,28sep2007,1227.66224
AEX,31oct2007,1245.61984
AEX,30nov2007,1155.65949
AEX,31dec2007,1174.28638
AEX,31jan2008,1004.96617
AEX,29feb2008,1018.72063
AEX,31mar2008,1012.33906
AEX,30apr2008,1100.38749
AEX,30may2008,1131.43951
AEX,30jun2008,993.19025
AEX,31jul2008,933.48832
AEX,29aug2008,972.44303
AEX,30sep2008,781.30521
AEX,31oct2008,631.70525
AEX,28nov2008,598.9047399999999
AEX,31dec2008,584.11154
AEX,30jan2009,590.7803699999999
AEX,27feb2009,524.54474
AEX,31mar2009,520.53855
AEX,30apr2009,584.56389
AEX,29may2009,635.42573
AEX,30jun2009,623.82839
AEX,31jul2009,694.3819
AEX,31aug2009,730.2926200000001
AEX,30sep2009,767.4592
AEX,30oct2009,745.5468499999999
AEX,30nov2009,757.39808
AEX,31dec2009,830.26819
AEX,29jan2010,811.85268
AEX,26feb2010,789.63328
AEX,31mar2010,857.75341
AEX,30apr2010,869.05259
AEX,31may2010,811.61416
AEX,30jun2010,801.74852
AEX,30jul2010,838.09426
AEX,31aug2010,806.26785
AEX,30sep2010,851.91715
AEX,29oct2010,859.39427
AEX,30nov2010,837.47433
AEX,31dec2010,906.95169
AEX,31jan2011,922.73806
AEX,28feb2011,947.80669
AEX,31mar2011,938.82245
AEX,29apr2011,934.70271
AEX,31may2011,914.17482
AEX,30jun2011,888.56331
AEX,29jul2011,862.50934
AEX,31aug2011,771.8707000000001
AEX,30sep2011,738.26444
AEX,31oct2011,810.5034900000001
AEX,30nov2011,793.28497
AEX,30dec2011,827.16274
AEX,31jan2012,843.03279
AEX,29feb2012,861.77964
AEX,30mar2012,859.81307
AEX,30apr2012,829.01125
AEX,31may2012,790.13039
AEX,29jun2012,837.02997992
AEX,31jul2012,889.82983087
AEX,31aug2012,902.73480348
AEX,28sep2012,886.00586722
AEX,31oct2012,907.06469352
AEX,30nov2012,926.44537457
AEX,31dec2012,943.39436449
AEX,31jan2013,975.42246481
AEX,28feb2013,940.22280851
AEX,29mar2013,961.1129587
AEX,30apr2013,977.19316756
AEX,31may2013,1021.8285867
AEX,28jun2013,969.00942993
AEX,31jul2013,1039.96008881
AEX,30aug2013,1025.35450581
AEX,30sep2013,1059.22913574
AEX,31oct2013,1107.57375243
AEX,29nov2013,1123.93244367
AEX,31dec2013,1138.77107056
AEX,31jan2014,1096.43405742
AEX,28feb2014,1132.84903396
AEX,31mar2014,1146.13879485
AEX,30apr2014,1143.9151634
AEX,30may2014,1176.45415248
AEX,30jun2014,1193.58992095
AEX,31jul2014,1168.08411005
AEX,29aug2014,1199.74568812
AEX,30sep2014,1223.00398984
AEX,31oct2014,1194.99196511
AEX,28nov2014,1241.4915724
AEX,31dec2014,1237.44116516
AEX,30jan2015,1313.35094801
AEX,27feb2015,1415.72761816
AEX,31mar2015,1433.33053374
AEX,30apr2015,1437.11890263
AEX,29may2015,1464.45490866
AEX,30jun2015,1402.49734308
AEX,31jul2015,1471.79678278
AEX,31aug2015,1332.26229375
AEX,30sep2015,1261.2982326
AEX,30oct2015,1385.99619404
AEX,30nov2015,1411.76961235
AEX,31dec2015,1328.4805305
AEX,29jan2016,1296.80421619
AEX,29feb2016,1289.90818685
AEX,31mar2016,1330.28243675
AEX,29apr2016,1342.26993606
AEX,31may2016,1377.91159755
AEX,30jun2016,1342.05033932
AEX,29jul2016,1387.07782476
AEX,31aug2016,1413.21497688
AEX,30sep2016,1406.84291087
AEX,31oct2016,1409.57195484
AEX,30nov2016,1427.97059075
AEX,30dec2016,1509.04691194
AEX,31jan2017,1488.86079232
AEX,28feb2017,1552.89175863
AEX,31mar2017,1621.03325812
AEX,28apr2017,1644.7493731
AEX,31may2017,1669.78861839
AEX,30jun2017,1617.32049624
AEX,31jul2017,1677.82590308
AEX,31aug2017,1660.18111393
AEX,29sep2017,1727.80544265
AEX,31oct2017,1780.78319273
AEX,30nov2017,1744.00291265
AEX,29dec2017,1758.42259649
AEX,31jan2018,1809.91931031
AEX,28feb2018,1735.17690755
AEX,30mar2018,1718.14389274
AEX,30apr2018,1818.58400556
AEX,31may2018,1822.84488772
AEX,29jun2018,1820.83340923
AEX,31jul2018,1895.76448977
AEX,31aug2018,1857.03365677
AEX,28sep2018,1828.07497699
AEX,31oct2018,1725.55939494
AEX,30nov2018,1734.19536503
AEX,31dec2018,1629.02152991
AEX,31jan2019,1738.4028712
AEX,28feb2019,1812.80819191
AEX,29mar2019,1842.83828023
AEX,30apr2019,1935.62592113
AEX,31may2019,1845.46477383
AEX,28jun2019,1918.08711452
AEX,31jul2019,1956.93465358
AEX,30aug2019,1925.45627534
AEX,30sep2019,2001.25629084
AEX,31oct2019,1991.23259979
AEX,29nov2019,2068.39024894
AEX,31dec2019,2093.60492487
AEX,31jan2020,2041.40559581
AEX,28feb2020,1873.11288512
AEX,31mar2020,1681.40720725
AEX,30apr2020,1793.14416723
AEX,29may2020,1867.31758752
AEX,30jun2020,1965.17555418
AEX,31jul2020,1916.20888836
AEX,31aug2020,1939.83902541
AEX,30sep2020,1934.97818236
AEX,30oct2020,1888.5719935
AEX,30nov2020,2147.3219092
AEX,31dec2020,2213.17457843
AEX,29jan2021,2257.46925525
AEX,26feb2021,2313.31495826
AEX,31mar2021,2486.5471276
AEX,30apr2021,2521.11912222
AEX,31may2021,2541.8834249
AEX,30jun2021,2615.31518593
AEX,30jul2021,2704.68116968
AEX,31aug2021,2836.5041662
AEX,30sep2021,2780.73870456
AEX,29oct2021,2928.61178004
AEX,30nov2021,2815.23627699
AEX,31dec2021,2889.59395003
ALUMINUM,31jan1980,2054.86010742
ALUMINUM,29feb1980,2131.00854492
ALUMINUM,31mar1980,1978.37890625
ALUMINUM,30apr1980,1932.45556641
ALUMINUM,30may1980,1775.80371094
ALUMINUM,30jun1980,1668.96044922
ALUMINUM,31jul1980,1758.07495117
ALUMINUM,29aug1980,1783.62719727
ALUMINUM,30sep1980,1655.06567383
ALUMINUM,31oct1980,1626.15209961
ALUMINUM,28nov1980,1503.91015625
ALUMINUM,31dec1980,1430.65673828
ALUMINUM,30jan1981,1430.82958984
ALUMINUM,27feb1981,1452.38110352
ALUMINUM,31mar1981,1442.9519043
ALUMINUM,30apr1981,1369.23461914
ALUMINUM,29may1981,1296.99584961
ALUMINUM,30jun1981,1232.40673828
ALUMINUM,31jul1981,1175.3112793
ALUMINUM,31aug1981,1230.82885742
ALUMINUM,30sep1981,1168.91113281
ALUMINUM,30oct1981,1140.18164063
ALUMINUM,30nov1981,1081.84643555
ALUMINUM,31dec1981,1130.88427734
ALUMINUM,29jan1982,1113.3
ALUMINUM,26feb1982,1087.7
ALUMINUM,31mar1982,1029.2
ALUMINUM,30apr1982,996.2
ALUMINUM,31may1982,973.3
ALUMINUM,30jun1982,918.8
ALUMINUM,30jul1982,957.8
ALUMINUM,31aug1982,958.9
ALUMINUM,30sep1982,959.5
ALUMINUM,29oct1982,951.5
ALUMINUM,30nov1982,965.2
ALUMINUM,31dec1982,987.4
ALUMINUM,31jan1983,1076.5
ALUMINUM,28feb1983,1230.4
ALUMINUM,31mar1983,1301.8
ALUMINUM,29apr1983,1363.6
ALUMINUM,31may1983,1453.4
ALUMINUM,30jun1983,1465.6
