Date,Price
31-Dec-86,2568.300049
2-Jan-87,2540.100098
5-Jan-87,2552.399902
6-Jan-87,2583.899902
7-Jan-87,2607.100098
8-Jan-87,2603.300049
9-Jan-87,2561.699951
12-Jan-87,2614.899902
13-Jan-87,2590.800049
14-Jan-87,2578.199951
15-Jan-87,2559.100098
16-Jan-87,2542.600098
19-Jan-87,2460.5
20-Jan-87,2449.899902
21-Jan-87,2533.899902
22-Jan-87,2536.899902
23-Jan-87,2499.399902
26-Jan-87,2484.399902
27-Jan-87,2524
28-Jan-87,2553.300049
2-Feb-87,2585.199951
3-Feb-87,2606.399902
4-Feb-87,2636.600098
5-Feb-87,2672.399902
6-Feb-87,2673.600098
9-Feb-87,2713.699951
10-Feb-87,2694.899902
11-Feb-87,2739.5
12-Feb-87,2754.699951
13-Feb-87,2740.5
16-Feb-87,2766.100098
17-Feb-87,2792.100098
18-Feb-87,2801.5
19-Feb-87,2775.800049
20-Feb-87,2827.399902
23-Feb-87,2879
24-Feb-87,2848.199951
25-Feb-87,2873.600098
26-Feb-87,2843.600098
27-Feb-87,2877.899902
2-Mar-87,2894.300049
3-Mar-87,2939.100098
4-Mar-87,2890.899902
5-Mar-87,2798.399902
6-Mar-87,2798.600098
9-Mar-87,2820.399902
10-Mar-87,2731.100098
11-Mar-87,2760.899902
12-Mar-87,2750.100098
13-Mar-87,2721.199951
16-Mar-87,2669.600098
17-Mar-87,2629.300049
18-Mar-87,2724
19-Mar-87,2721.300049
20-Mar-87,2780.600098
23-Mar-87,2813.399902
24-Mar-87,2828.100098
25-Mar-87,2831.5
26-Mar-87,2783.100098
27-Mar-87,2798.699951
30-Mar-87,2774.899902
31-Mar-87,2713.800049
1-Apr-87,2695.899902
2-Apr-87,2709.399902
3-Apr-87,2680
7-Apr-87,2664.699951
8-Apr-87,2729.600098
9-Apr-87,2785.5
10-Apr-87,2766.399902
13-Apr-87,2708.899902
14-Apr-87,2668.399902
15-Apr-87,2693.600098
16-Apr-87,2721.100098
21-Apr-87,2713.399902
22-Apr-87,2716.899902
23-Apr-87,2719.899902
24-Apr-87,2707.600098
27-Apr-87,2636.5
28-Apr-87,2617.100098
29-Apr-87,2589.5
30-Apr-87,2659.899902
1-May-87,2685.399902
4-May-87,2695.800049
5-May-87,2713.800049
6-May-87,2792.899902
7-May-87,2785.600098
8-May-87,2805.100098
11-May-87,2846.899902
12-May-87,2853.399902
13-May-87,2833.5
14-May-87,2853.899902
15-May-87,2872.199951
18-May-87,2875.399902
19-May-87,2881.5
20-May-87,2887.300049
21-May-87,2871
22-May-87,2897.600098
25-May-87,2897.600098
26-May-87,2935.899902
27-May-87,2941.600098
28-May-87,2950.800049
29-May-87,2950.800049
2-Jun-87,2934.100098
3-Jun-87,2963
4-Jun-87,3023.600098
5-Jun-87,3064.300049
8-Jun-87,3068
9-Jun-87,3108.600098
