Date,10Y-Rate
1/1/1982,7.62374231
1/2/1982,7.65664807
1/3/1982,7.12899337
1/4/1982,7.40834717
1/5/1982,7.32004091
1/6/1982,7.34537864
1/7/1982,7.55898662
1/8/1982,6.87979814
1/9/1982,6.50722489
1/10/1982,6.27916218
1/11/1982,5.62621423
1/12/1982,5.88173142
1/1/1983,5.5433895
1/2/1983,5.86170487
1/3/1983,5.57383847
1/4/1983,5.70012244
1/5/1983,5.40239353
1/6/1983,5.80955824
1/7/1983,5.8185791
1/8/1983,6.26942178
1/9/1983,6.35502485
1/10/1983,6.03269333
1/11/1983,6.14393792
1/12/1983,6.14842454
1/1/1984,6.21530449
1/2/1984,6.1010181
1/3/1984,6.46257937
1/4/1984,6.62874874
1/5/1984,6.85146491
1/6/1984,7.34576833
1/7/1984,7.44614428
1/8/1984,6.87114867
1/9/1984,6.97565415
1/10/1984,6.60885326
1/11/1984,6.06648144
1/12/1984,6.07562511
1/1/1985,6.16190057
1/2/1985,6.01581783
1/3/1985,6.38383581
1/4/1985,6.19138804
1/5/1985,5.93748656
1/6/1985,5.1560053
1/7/1985,5.33392835
1/8/1985,5.59011814
1/9/1985,5.4232741
1/10/1985,5.40769529
1/11/1985,5.2424908
1/12/1985,5.08076952
1/1/1986,4.54718526
1/2/1986,4.62388041
1/3/1986,4.20918205
1/4/1986,3.94830491
1/5/1986,4.04659032
1/6/1986,4.58448381
1/7/1986,3.99302785
1/8/1986,3.9205807
1/9/1986,3.55172642
1/10/1986,3.86705459
1/11/1986,3.74388639
1/12/1986,3.54373436
1/1/1987,3.60456573
1/2/1987,3.57858135
1/3/1987,3.55478545
1/4/1987,3.76019917
1/5/1987,4.3597144
1/6/1987,4.33241266
1/7/1987,4.27752862
1/8/1987,4.48023176
1/9/1987,4.60420021
1/10/1987,4.95924181
1/11/1987,4.52543171
1/12/1987,4.57927551
1/1/1988,4.60538556
1/2/1988,4.09836913
1/3/1988,4.04273806
1/4/1988,4.41655648
1/5/1988,4.49627175
1/6/1988,4.65088068
1/7/1988,4.43535275
1/8/1988,4.54274482
1/9/1988,4.70786025
1/10/1988,4.46199391
1/11/1988,4.35872218
1/12/1988,4.61793872
1/1/1989,4.86319371
1/2/1989,4.73187982
1/3/1989,4.97372227
1/4/1989,4.87105004
1/5/1989,4.62966249
1/6/1989,4.41116564
1/7/1989,4.00267623
1/8/1989,3.73935273
1/9/1989,4.27707143
1/10/1989,4.29718333
1/11/1989,4.03013495
1/12/1989,4.02966583
1/1/1990,4.1276234
1/2/1990,4.36692739
1/3/1990,4.55196762
1/4/1990,4.55216196
1/5/1990,4.80506176
1/6/1990,4.38261115
1/7/1990,4.3418185
1/8/1990,4.17053207
1/9/1990,4.3987447
1/10/1990,4.20053902
1/11/1990,4.05885498
1/12/1990,3.8939207
1/1/1991,3.92293115
1/2/1991,3.90705382
1/3/1991,4.17583618
1/4/1991,4.1098331
1/5/1991,4.04991631
1/6/1991,4.18764426
1/7/1991,4.22225375
1/8/1991,4.13991739
1/9/1991,3.87849555
1/10/1991,3.63786206
1/11/1991,3.56505772
1/12/1991,3.41033346
1/1/1992,3.19854245
1/2/1992,3.62829159
1/3/1992,3.66026498
1/4/1992,3.78985987
1/5/1992,3.74616997
1/6/1992,3.56857666
1/7/1992,3.35309944
1/8/1992,3.1248226
1/9/1992,2.95734236
1/10/1992,2.72804375
1/11/1992,3.32463334
1/12/1992,3.50968543
1/1/1993,3.26790846
1/2/1993,3.00478524
1/3/1993,2.67342493
1/4/1993,2.77451693
1/5/1993,2.66472062
1/6/1993,2.76123734
1/7/1993,2.59179878
1/8/1993,2.70290307
1/9/1993,2.45058069
1/10/1993,2.39884319
1/11/1993,2.56229533
1/12/1993,2.72011647
1/1/1994,2.77268493
1/2/1994,2.62016875
1/3/1994,2.97120305
1/4/1994,3.65918278
1/5/1994,3.62457709
1/6/1994,3.59356552
1/7/1994,3.7864194
1/8/1994,3.58028405
1/9/1994,3.6371045
1/10/1994,3.95662307
1/11/1994,4.10325275
1/12/1994,4.11695307
1/1/1995,4.24429022
1/2/1995,4.05499673
1/3/1995,3.72098557
1/4/1995,3.6549273
1/5/1995,3.4204808
1/6/1995,2.90471287
1/7/1995,2.93803016
1/8/1995,3.14848844
1/9/1995,3.01759856
1/10/1995,3.0097294
1/11/1995,2.88422441
1/12/1995,2.72215346
1/1/1996,2.64759197
1/2/1996,2.59785872
1/3/1996,2.8972936
1/4/1996,3.10833442
1/5/1996,3.30502587
1/6/1996,3.49408029
1/7/1996,3.36926055
1/8/1996,3.32941538
1/9/1996,3.52082209
1/10/1996,3.31834947
1/11/1996,3.14164675
1/12/1996,2.95093511
1/1/1997,3.2548678
1/2/1997,3.21337489
1/3/1997,3.3085558
1/4/1997,3.55047337
1/5/1997,3.43698117
1/6/1997,3.27910832
1/7/1997,3.19987642
1/8/1997,3.0885119
1/9/1997,3.15086952
1/10/1997,3.01659074
1/11/1997,2.97295683
1/12/1997,2.91985104
1/1/1998,2.84030163
1/2/1998,2.77706891
1/3/1998,2.85251196
1/4/1998,2.84606553
1/5/1998,2.89304228
1/6/1998,2.87099745
1/7/1998,2.77070571
1/8/1998,2.77934018
1/9/1998,2.49623921
1/10/1998,1.93514547
1/11/1998,2.22103048
1/12/1998,2.22957981
1/1/1999,2.30815245
1/2/1999,2.36759019
1/3/1999,2.71035881
1/4/1999,2.67778993
1/5/1999,2.70423805
1/6/1999,3.11656311
1/7/1999,3.0055618
1/8/1999,3.10154331
1/9/1999,3.16946543
1/10/1999,3.14292186
1/11/1999,3.14725353
1/12/1999,3.1922035
1/1/2000,3.41105112
1/2/2000,3.51334339
1/3/2000,3.44034736
1/4/2000,3.20296665
1/5/2000,3.3605311
1/6/2000,3.1278929
1/7/2000,3.06235485
1/8/2000,3.04561328
1/9/2000,2.88599618
1/10/2000,2.87662559
1/11/2000,2.83313793
1/12/2000,2.63921042
1/1/2001,2.25143294
1/2/2001,2.26701398
1/3/2001,2.26729473
1/4/2001,2.22098391
1/5/2001,2.43341797
1/6/2001,2.52645602
1/7/2001,2.52836744
1/8/2001,2.33436142
1/9/2001,2.17776797
1/10/2001,1.98693245
1/11/2001,1.81476553
1/12/2001,2.0405763
1/1/2002,2.52349996
1/2/2002,2.40007343
1/3/2002,2.42129018
1/4/2002,2.70112632
1/5/2002,2.35054993
1/6/2002,2.31986391
1/7/2002,2.14192855
1/8/2002,1.74226259
1/9/2002,1.44610825
1/10/2002,1.26869564
1/11/2002,1.39558681
1/12/2002,1.69225366
1/1/2003,1.48820174
1/2/2003,1.466379
1/3/2003,1.22359095
1/4/2003,1.30961847
1/5/2003,1.37072098
1/6/2003,0.90511574
1/7/2003,1.12868896
1/8/2003,1.75170446
1/9/2003,1.89723825
1/10/2003,1.38081936
1/11/2003,1.71390165
1/12/2003,1.71357266
1/1/2004,1.70195436
1/2/2004,1.57158074
1/3/2004,1.47016466
1/4/2004,1.35814941
1/5/2004,1.88324516
1/6/2004,1.94657611
1/7/2004,1.93379862
1/8/2004,1.85580269
1/9/2004,1.48469164
1/10/2004,1.6871063
1/11/2004,1.60768876
1/12/2004,1.90953662
1/1/2005,1.7792759
1/2/2005,1.81315912
1/3/2005,1.97934111
1/4/2005,2.02052684
1/5/2005,1.78986568
1/6/2005,1.66688811
1/7/2005,1.82002108
1/8/2005,2.00821677
1/9/2005,1.73569017
1/10/2005,1.96704484
1/11/2005,2.07568901
1/12/2005,2.01834727
