ticker,name,industry,size,ret,beta
AAPL,APPLE INC,Business Equipment,643.12012,.2367083442874642,1.28938328490377
XOM,EXXON MOBIL CORP,"Oil, Gas, and Coal",391.48221,-.0169546317164545,.4932502345091182
MSFT,MICROSOFT CORP,Business Equipment,381.7261,.3044961210695631,1.195665252702579
JNJ,JOHNSON & JOHNSON,Healthcare,292.70294,.0986955764136996,.4616928005245546
WFC,WELLS FARGO & CO NEW,Finance,284.38553,.027379180727009,.8397973516788314
WMT,WAL MART STORES INC,Retail,276.80756,.094024387310484,.5243701870833436
GE,GENERAL ELECTRIC CO,Manufacturing,253.76619,-.1216856168605986,1.189791182308001
PG,PROCTER & GAMBLE CO,Chemicals,246.13602,.0992329705675246,.3670115647062891
JPM,JPMORGAN CHASE & CO,Finance,233.93587,.2043191723881674,1.381403639149177
CVX,CHEVRON CORP NEW,"Oil, Gas, and Coal",212.06776,.0570369386500598,.6385452593392311
ORCL,ORACLE CORP,Business Equipment,197.47978,.0494125409271584,1.428507833116587
PFE,PFIZER INC,Healthcare,196.26546,.0848370901852957,.6078710547045553
VZ,VERIZON COMMUNICATIONS INC,Telecommunications,194.12408,.1047345128307768,.5820419354567422
BAC,BANK OF AMERICA CORP,Finance,188.13928,.164613921364523,1.351431685461435
BRK,BERKSHIRE HATHAWAY INC DEL,Finance,188.032,.0848489932815142,.4799728070968236
KO,COCA COLA CO,Consumer non Durables,184.92839,.0905479400671152,.5079305060262999
BRK,BERKSHIRE HATHAWAY INC DEL,Finance,182.57234,.0856968495165968,.4855175776697714
T,A T & T INC,Telecommunications,174.23132,.0893715751284236,.5683811448456264
INTC,INTEL CORP,Business Equipment,172.30493,.1362363430083047,1.389916849750387
C,CITIGROUP INC,Retail,163.9256,.0978373865169468,1.771599383044915
MRK,MERCK & CO INC NEW,Healthcare,161.90109,.1328410341639965,.5428457005620377
DIS,DISNEY WALT CO,Telecommunications,159.71902,.1048017513396995,1.022966209261645
IBM,INTERNATIONAL BUSINESS MACHS COR,Business Equipment,158.78105,.0036673871702746,1.002588598876331
AMZN,AMAZON COM INC,Business Equipment,144.12158,.4287706516341887,1.939752756166793
CSCO,CISCO SYSTEMS INC,Business Equipment,142.23445,.1502773753463142,1.573366840923755
PEP,PEPSICO INC,Consumer non Durables,141.51906,.1085415120422264,.5855673052764176
GILD,GILEAD SCIENCES INC,Healthcare,141.29575,-.0464720535328524,1.059812152119056
HD,HOME DEPOT INC,Retail,138.33231,.1838352780250037,1.012495218098637
CMCSA,COMCAST CORP NEW,Telecommunications,123.62731,.1116221677254996,.9108857342242596
QCOM,QUALCOMM INC,Business Equipment,122.94183,.0724851768918811,1.423736140483976
AMGN,AMGEN INC,Healthcare,121.12411,.1149735571831199,.6817701888684979
CVS,C V S HEALTH CORP,Consumer non Durables,110.40814,-.0277239182879596,.7005334744322959
UNP,UNION PACIFIC CORP,Other,105.91836,.1119042414102049,.7333413936262624
UTX,UNITED TECHNOLOGIES CORP,Manufacturing,104.84068,.0791711030961284,1.015173498004003
