time,month,ret
30jul2010,7,-.1632395833730698
31aug2010,8,-.0230692569166422
30sep2010,9,.0474846586585045
29oct2010,10,.0703258737921715
30nov2010,11,.6176740527153015
31dec2010,12,-.2462497055530548
31jan2011,1,-.0950055867433548
28feb2011,2,-.0087137343361974
31mar2011,3,.1615739166736603
29apr2011,4,-.0054053915664554
31may2011,5,.092028945684433
30jun2011,6,-.0335102938115597
29jul2011,7,-.0329556837677956
31aug2011,8,-.1217607483267784
30sep2011,9,-.0141471456736326
31oct2011,10,.2041821032762527
30nov2011,11,.1147429570555687
30dec2011,12,-.1276726275682449
31jan2012,1,.0178571511059999
29feb2012,2,.1492948085069656
30mar2012,3,.1146363914012909
30apr2012,4,-.1103652119636536
31may2012,5,-.1095683947205544
29jun2012,6,.0606779977679253
31jul2012,7,-.1236817091703415
31aug2012,8,.0401167161762714
28sep2012,9,.026647973805666
31oct2012,10,-.039228193461895
30nov2012,11,.2022153437137604
31dec2012,12,.0014783926308155
31jan2013,1,.1074697226285934
28feb2013,2,-.0714475214481354
28mar2013,3,.0878552198410034
30apr2013,4,.4249143004417419
31may2013,5,.8107056617736816
28jun2013,6,.0981996580958366
31jul2013,7,.2507451474666595
30aug2013,8,.2585642039775848
30sep2013,9,.1442011594772339
31oct2013,10,-.1728809773921967
29nov2013,11,-.2042015939950943
31dec2013,12,.181874617934227
31jan2014,1,.205950990319252
28feb2014,2,.3494845628738403
31mar2014,3,-.1485233455896378
30apr2014,4,-.0026864837855101
30may2014,5,-.0005772048607469
30jun2014,6,.1554121971130371
31jul2014,7,-.0698158591985703
29aug2014,8,.2077922523021698
30sep2014,9,-.1001854613423347
31oct2014,10,-.0040382221341133
28nov2014,11,.0116673866286874
31dec2014,12,-.090422049164772
30jan2015,1,-.0845735222101212
27feb2015,2,-.0012770616449416
31mar2015,3,-.071653351187706
30apr2015,4,.1974889934062958
29may2015,5,.1094890460371971
30jun2015,6,.0696172490715981
31jul2015,7,-.0078655621036887
31aug2015,8,-.0642118975520134
30sep2015,9,-.0026499785017222
30oct2015,10,-.1669484823942184
30nov2015,11,.1127434521913528
31dec2015,12,.0423434376716614
29jan2016,1,-.2033665180206299
29feb2016,2,.0038179692346603
31mar2016,3,.1971552819013596
29apr2016,4,.0478303954005241
31may2016,5,-.072811096906662
30jun2016,6,-.049052532762289
29jul2016,7,.1060391664505005
31aug2016,8,-.0970228686928749
30sep2016,9,-.0376397147774696
31oct2016,10,-.0308778267353773
30nov2016,11,-.0421281643211842
30dec2016,12,.1282471418380737
31jan2017,1,.178950771689415
28feb2017,2,-.0077005010098219
31mar2017,3,.1132444590330124
28apr2017,4,.1285304427146912
31may2017,5,.0857770591974258
30jun2017,6,.0604087114334106
31jul2017,7,-.105472706258297
31aug2017,8,.1002565696835518
29sep2017,9,-.0415846817195415
31oct2017,10,-.0280563086271286
30nov2017,11,-.0684100762009621
29dec2017,12,.0080945445224643
31jan2018,1,.137979730963707
28feb2018,2,-.0317518562078476
29mar2018,3,-.224246472120285
30apr2018,4,.1043474525213242
31may2018,5,-.0312010310590267
29jun2018,6,.2044744044542313
31jul2018,7,-.1306604295969009
31aug2018,8,.0118064964190125
28sep2018,9,-.1222900450229645
31oct2018,10,.274011492729187
30nov2018,11,.0390134081244469
31dec2018,12,-.050445169210434
31jan2019,1,-.0774639397859573
28feb2019,2,.0418865755200386
29mar2019,3,-.1251094788312912
30apr2019,4,-.1471092104911804
31may2019,5,-.2242657840251923
28jun2019,6,.20684814453125
31jul2019,7,.0812225639820099
30aug2019,8,-.0662224218249321
30sep2019,9,.0676388218998909
31oct2019,10,.307427316904068
29nov2019,11,.0476946160197258
31dec2019,12,.2678971290588379
31jan2020,1,.555159866809845
28feb2020,2,.0267764925956726
31mar2020,3,-.2155571132898331
30apr2020,4,.4921374022960663
29may2020,5,.0679388046264648
30jun2020,6,.2931857109069824
31jul2020,7,.3250108063220978
31aug2020,8,.7414520978927612
30sep2020,9,-.1390873193740845
30oct2020,10,-.0954989418387413
30nov2020,11,.4627357125282288
31dec2020,12,.24325230717659
